index,ids,artist,genre,name,subgenres,urls,artist_song,photos
10,05mUf9x3V3RIqafuY4H54E,Peter Green Splinter Group,blues,Needs Must The Devil Drives,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/05mUf9x3V3RIqafuY4H54E.mp3,Peter Green Splinter Group - Needs Must The Devil Drives,https://tse4.mm.bing.net/th?id=OIP.RCsHo5t7LjZ31bjO_DgFhgHaE8&pid=Api
11,05oMNN5Rbv6rVqyFFG9uTl,Jimmy Reed,blues,Baby What You Want Me to Do,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/05oMNN5Rbv6rVqyFFG9uTl.mp3,Jimmy Reed - Baby What You Want Me to Do,https://tse1.mm.bing.net/th?id=OIP.SeEn8rEwh7O8jR0WRJOcdgHaJ8&pid=Api
12,05xkF0BfIzypaA22vCuRTw,Canned Heat,blues,Future Blues,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/05xkF0BfIzypaA22vCuRTw.mp3,Canned Heat - Future Blues,https://tse2.mm.bing.net/th?id=OIP.zy7xvZdxUgeHLUZmGfMGrgAAAA&pid=Api
13,06qgM0zDGygpTMVg0EKNJo,Elvis Presley,blues,Until It's Time for You to Go,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/06qgM0zDGygpTMVg0EKNJo.mp3,Elvis Presley - Until It's Time for You to Go,https://tse4.mm.bing.net/th?id=OIP.EBXzdn9DlqJ0G8wPqA_CMAHaK8&pid=Api
14,076weQyDCbpy4modnDlU27,Scott H. Biram,blues,Ocean of Diamonds,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/076weQyDCbpy4modnDlU27.mp3,Scott H. Biram - Ocean of Diamonds,https://tse2.explicit.bing.net/th?id=OIP.uuMGDe6jS93MeDYE_ZDFQgHaHa&pid=Api
15,07sARbB4xOZZEaSUtTfMbL,Eric Bibb,blues,Chain. Reaction,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/07sARbB4xOZZEaSUtTfMbL.mp3,Eric Bibb - Chain. Reaction,https://tse2.mm.bing.net/th?id=OIP.S3R94l3Qzr7UAABsXM8rugHaD3&pid=Api
16,0AWTnLjsI35kcKI3uCR5Bp,Possessed by Paul James,blues,Hurricane,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0AWTnLjsI35kcKI3uCR5Bp.mp3,Possessed by Paul James - Hurricane,https://tse1.mm.bing.net/th?id=OIP.zpGbzwG5OmEVh3zdOiSNSgHaJf&pid=Api
17,0AbLQMdKJFIaO6FrNRMmuZ,R.L. Burnside,blues,Goin' Down South,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0AbLQMdKJFIaO6FrNRMmuZ.mp3,R.L. Burnside - Goin' Down South,https://tse3.mm.bing.net/th?id=OIP.-ELMFw9v9vnIMbS1laupawAAAA&pid=Api
18,0AyuXBS2btC46SOUgnOZ2N,John Lee Hooker,blues,Boogie Chillun,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0AyuXBS2btC46SOUgnOZ2N.mp3,John Lee Hooker - Boogie Chillun,https://tse3.mm.bing.net/th?id=OIP.DEcSQ9z7dJcSCnGc12ylLgHaI8&pid=Api
19,0C3G0QSWQYBTkbyLe4tirJ,Howlin' Wolf,blues,Rockin' Daddy,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0C3G0QSWQYBTkbyLe4tirJ.mp3,Howlin' Wolf - Rockin' Daddy,https://tse4.mm.bing.net/th?id=OIP.0r6G073PegRvA7NVy1kVXwAAAA&pid=Api
20,0C7mriFxQZ24xpDXgSfIc8,Jimmie Vaughan,blues,Six Strings Down,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0C7mriFxQZ24xpDXgSfIc8.mp3,Jimmie Vaughan - Six Strings Down,https://tse1.mm.bing.net/th?id=OIP.SeEn8rEwh7O8jR0WRJOcdgHaJ8&pid=Api
21,0Dh2qyKfmSRfJsaDRNO1jD,Johnny Winter,blues,I Had to Cry,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0Dh2qyKfmSRfJsaDRNO1jD.mp3,Johnny Winter - I Had to Cry,https://tse1.mm.bing.net/th?id=OIP.5BFqVAJfm-TItfnX7puTsAHaKD&pid=Api
22,0ENjQO4pgtxXRFEPS3GXUv,Bob Wills & His Texas Playboys,blues,New San Antonio Rose,['blues---country blues' 'jazz---swing'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0ENjQO4pgtxXRFEPS3GXUv.mp3,Bob Wills & His Texas Playboys - New San Antonio Rose,https://tse4.mm.bing.net/th?id=OIP.3lgAC97gX8geS1MmAFzX8AAAAA&pid=Api
23,0EzykG4pYlmmGTihakWGRL,Blind Willie Johnson,blues,Nobody's Fault but Mine,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0EzykG4pYlmmGTihakWGRL.mp3,Blind Willie Johnson - Nobody's Fault but Mine,https://tse2.mm.bing.net/th?id=OIP.l6YMjCT0cbKSaLoYH9YZswAAAA&pid=Api
24,0F3ZS2gMHCImgws6ewz1H7,Charlie Parr,blues,1922 Blues,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0F3ZS2gMHCImgws6ewz1H7.mp3,Charlie Parr - 1922 Blues,https://tse1.mm.bing.net/th?id=OIP.vPdpJIlY09F3eNm6rd7pmAHaHl&pid=Api
25,0FHoTfQvVg3N4AWMK51849,Joe Dassin,blues,"Un baby, bébé",['blues---country blues' 'pop---ballad'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0FHoTfQvVg3N4AWMK51849.mp3,"Joe Dassin - Un baby, bébé",https://tse4.mm.bing.net/th?id=OIP.RqFnVPm4FRHnG6VpFd37vgHaIU&pid=Api
26,0GFxOnPvCcrsxNv4AefFZ2,Those Poor Bastards,blues,My Last Dollar,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0GFxOnPvCcrsxNv4AefFZ2.mp3,Those Poor Bastards - My Last Dollar,https://tse1.mm.bing.net/th?id=OIP.SgNoKO2KdYUKbB87kt8UcwAAAA&pid=Api
27,0GcjB5fizJDcImgN0lg3YH,John Lee Hooker,blues,In the Mood,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0GcjB5fizJDcImgN0lg3YH.mp3,John Lee Hooker - In the Mood,https://tse3.mm.bing.net/th?id=OIP.DEcSQ9z7dJcSCnGc12ylLgHaI8&pid=Api
28,0H9uOOH7NBtg97TTF8TKKG,Lightnin' Hopkins,blues,Mr. Charlie (Part 2),['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0H9uOOH7NBtg97TTF8TKKG.mp3,Lightnin' Hopkins - Mr. Charlie (Part 2),https://tse4.mm.bing.net/th?id=OIP.XCBrgnR3jF4GkLpwZYI1_QHaE6&pid=Api
29,0HBc7nSv7tT4KXktKAaNYx,Willie Nelson,blues,September Song,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0HBc7nSv7tT4KXktKAaNYx.mp3,Willie Nelson - September Song,https://tse4.mm.bing.net/th?id=OIP.c7VyG0MVnTpD8KDHxK3logHaE9&pid=Api
30,0IlJfv6ACOvNyjd9vvgKzm,Junior Kimbrough,blues,Feels So Good #2,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0IlJfv6ACOvNyjd9vvgKzm.mp3,Junior Kimbrough - Feels So Good #2,https://tse4.mm.bing.net/th?id=OIP.mtneXW4gFfrxtFxSATywiQHaLH&pid=Api
31,0K62IuU9QfOrwcinI1uGB3,Dock Boggs,blues,Davenport,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0K62IuU9QfOrwcinI1uGB3.mp3,Dock Boggs - Davenport,https://tse3.mm.bing.net/th?id=OIP.R7BU1NigRH7zgg6PWsQ1IAHaE8&pid=Api
32,0KSI7kAEp3PyOger8bYR5Z,Blind Willie McTell,blues,Warm Up To Me,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0KSI7kAEp3PyOger8bYR5Z.mp3,Blind Willie McTell - Warm Up To Me,https://tse1.mm.bing.net/th?id=OIP.0JYcrPQ_a08ABLL1yyqCZAAAAA&pid=Api
33,0KSZRIQvYahamp0uAKjyJQ,Iggy Pop,blues,Les Feuilles mortes,['blues---electric blues' 'rock---hard rock'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0KSZRIQvYahamp0uAKjyJQ.mp3,Iggy Pop - Les Feuilles mortes,https://tse1.mm.bing.net/th?id=OIP.7JKnhOy92C4KHBlzkPkddAHaE8&pid=Api
34,0KtFN24oob7WIfoYtuRL75,Brewers Droop,blues,Rock Steady Woman,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0KtFN24oob7WIfoYtuRL75.mp3,Brewers Droop - Rock Steady Woman,https://tse1.mm.bing.net/th?id=OIP._i9pCzzLJ3INMKhj9O6VwAAAAA&pid=Api
35,0Lj3qbusp7zvLt8p9coGo8,"Gary Clark, Jr.",blues,When My Train Pulls In,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0Lj3qbusp7zvLt8p9coGo8.mp3,"Gary Clark, Jr. - When My Train Pulls In",https://tse4.mm.bing.net/th?id=OIP.WdJAf5kLrmtlfqlowHPwIQHaLI&pid=Api
36,0Mue41PoRyvzZtBnFvpViY,Seasick Steve,blues,Cut My Wings,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0Mue41PoRyvzZtBnFvpViY.mp3,Seasick Steve - Cut My Wings,https://tse1.mm.bing.net/th?id=OIP.p1OjZxWwe4TwxnFQQZYJPgAAAA&pid=Api
37,0MvsfFXD0XkeOcPUOO5XaH,Bettye LaVette,blues,Let Me Down Easy,['blues---electric blues' 'funk / soul---soul'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0MvsfFXD0XkeOcPUOO5XaH.mp3,Bettye LaVette - Let Me Down Easy,https://tse3.mm.bing.net/th?id=OIP.Bdmji47w5aC3XZ1iYMpywgHaFj&pid=Api
38,0N9d82uZLVubHnlZiwo1XV,Albert Cummings,blues,Stay Away From My Sister,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0N9d82uZLVubHnlZiwo1XV.mp3,Albert Cummings - Stay Away From My Sister,https://tse2.explicit.bing.net/th?id=OIP.M-li0myF6FHZCEZ_wpJu0gHaJW&pid=Api
39,0PLP3twxfm8Rb1Q4iAVMBw,The Pack A.D.,blues,Making Gestures,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0PLP3twxfm8Rb1Q4iAVMBw.mp3,The Pack A.D. - Making Gestures,https://tse3.mm.bing.net/th?id=OIP.dD1gnsRLNr38ZPjgoXkvNgAAAA&pid=Api
40,0PqpNVmGg42p4KqQnSS2JG,Hazmat Modine,blues,Dead Crow,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0PqpNVmGg42p4KqQnSS2JG.mp3,Hazmat Modine - Dead Crow,https://tse2.mm.bing.net/th?id=OIP.bzItvaGsMKgskcGPOIx7jwHaE8&pid=Api
41,0Qto8euWAEBktSLR29mdDm,Chris Smither,blues,Leave the Light On,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0Qto8euWAEBktSLR29mdDm.mp3,Chris Smither - Leave the Light On,https://tse3.mm.bing.net/th?id=OIP.Dar3ZtLykUs0B_W75OC02QHaFj&pid=Api
42,0RLo5RT9uqDCwkRVUJZDwQ,Cowboy Junkies,blues,Misguided Angel,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0RLo5RT9uqDCwkRVUJZDwQ.mp3,Cowboy Junkies - Misguided Angel,https://tse3.mm.bing.net/th?id=OIP.sF55nh6IyHp1s6_tO25eIQHaJf&pid=Api
43,0Rd3D6G4rK1ms2dyhhmmca,Elmore James,blues,Rock My Baby Right,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0Rd3D6G4rK1ms2dyhhmmca.mp3,Elmore James - Rock My Baby Right,https://tse4.mm.bing.net/th?id=OIP.gzSoL3TUBEZHnw00v5VLcQHaE7&pid=Api
44,0SDTzDSgWtubBf17qR4xed,Seasick Steve,blues,Dog House Boogie,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0SDTzDSgWtubBf17qR4xed.mp3,Seasick Steve - Dog House Boogie,https://tse1.mm.bing.net/th?id=OIP.p1OjZxWwe4TwxnFQQZYJPgAAAA&pid=Api
45,0SOen7I3oaeazmjaGf7Zun,Scott H. Biram,blues,Whoa Back Buck,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0SOen7I3oaeazmjaGf7Zun.mp3,Scott H. Biram - Whoa Back Buck,https://tse2.explicit.bing.net/th?id=OIP.uuMGDe6jS93MeDYE_ZDFQgHaHa&pid=Api
46,0Slx5iMuMphh0AbtzSSGrD,Robben Ford,blues,Help the Poor,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0Slx5iMuMphh0AbtzSSGrD.mp3,Robben Ford - Help the Poor,https://tse2.mm.bing.net/th?id=OIP.TxphwZ81kscGOq-_wDBHlwHaFj&pid=Api
47,0TMyTwJ0lk55BoLDIawDMZ,Big Bill Broonzy,blues,Just a Dream,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0TMyTwJ0lk55BoLDIawDMZ.mp3,Big Bill Broonzy - Just a Dream,https://tse1.mm.bing.net/th?id=OIP.t8tuZzmryTCFNlksZw-E0gAAAA&pid=Api
48,0U2LPD5KUcX5PuRDPICIzk,Buddy Guy,blues,This Is the End,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0U2LPD5KUcX5PuRDPICIzk.mp3,Buddy Guy - This Is the End,https://tse3.explicit.bing.net/th?id=OIP.-NvUADMl1SZ8bbWkk2TbBAHaE8&pid=Api
49,0UDkIV2yZ8r7thfLRWZEL9,Fleur De Lys,blues,Wait for Me,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0UDkIV2yZ8r7thfLRWZEL9.mp3,Fleur De Lys - Wait for Me,https://tse4.mm.bing.net/th?id=OIP.Pn8-7XP3-TT4TI0l9ElzCgHaHa&pid=Api
50,0UldAA64QZylDhnGnKfN3e,Doc Watson,blues,Tom Dooley,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0UldAA64QZylDhnGnKfN3e.mp3,Doc Watson - Tom Dooley,https://tse1.mm.bing.net/th?id=OIP.bmdGiS2b-NWN8_3GLdCD6gHaGC&pid=Api
51,0X7egPi2ViAjnp89dxlw2H,John Lee Hooker,blues,Ride 'til I Die,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0X7egPi2ViAjnp89dxlw2H.mp3,John Lee Hooker - Ride 'til I Die,https://tse3.mm.bing.net/th?id=OIP.DEcSQ9z7dJcSCnGc12ylLgHaI8&pid=Api
52,0XdzSq9cGeoqORWDtpOnIq,Hazmat Modine,blues,Grade-A Gray Day,['blues---country blues' 'jazz---contemporary jazz' 'reggae'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0XdzSq9cGeoqORWDtpOnIq.mp3,Hazmat Modine - Grade-A Gray Day,https://tse2.mm.bing.net/th?id=OIP.bzItvaGsMKgskcGPOIx7jwHaE8&pid=Api
53,0XvnD9lzntXTJOD3oSQfX5,Little Johnny Jones,blues,Sweet Little Woman,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0XvnD9lzntXTJOD3oSQfX5.mp3,Little Johnny Jones - Sweet Little Woman,https://tse3.mm.bing.net/th?id=OIP._qQbaIUP4nWLrGswxTPWAgHaGI&pid=Api
54,0YGsLiQTV5SAiSxKZIWuSP,John Lee Hooker,blues,It's Stormin' and Rainin',['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0YGsLiQTV5SAiSxKZIWuSP.mp3,John Lee Hooker - It's Stormin' and Rainin',https://tse3.mm.bing.net/th?id=OIP.DEcSQ9z7dJcSCnGc12ylLgHaI8&pid=Api
55,0YcUYpaooEcSNpZc6rrpMN,Jack Rose,blues,Kensington Blues,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0YcUYpaooEcSNpZc6rrpMN.mp3,Jack Rose - Kensington Blues,https://tse3.mm.bing.net/th?id=OIP.xM2R64N0aETDjKC8rgpgXAHaFY&pid=Api
56,0YdxX1ugD00rZsptaLRgXG,B.B. King,blues,Partin' Time,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0YdxX1ugD00rZsptaLRgXG.mp3,B.B. King - Partin' Time,https://tse3.mm.bing.net/th?id=OIP.snqyv0A6ovzB8QWR_8fWkAHaFj&pid=Api
57,0ZA02PSODemq7taIP6cEL2,Jim White,blues,Land Called Home,['blues---country blues' 'rock---alternative rock'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0ZA02PSODemq7taIP6cEL2.mp3,Jim White - Land Called Home,https://tse4.mm.bing.net/th?id=OIP.hlirFCjkhpLkdiVv2tFWCwHaI9&pid=Api
58,0aBF6Zob3o2GthzPTuVplz,The Paul Butterfield Blues Band,blues,Walkin' Blues,['blues---electric blues' 'funk / soul---soul'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0aBF6Zob3o2GthzPTuVplz.mp3,The Paul Butterfield Blues Band - Walkin' Blues,https://tse3.mm.bing.net/th?id=OIP.ElLLi_obtTMFXqITitvdpQHaEK&pid=Api
59,0aGUX3Kd5GLQ8jYW3YiuK5,Hazmat Modine,blues,Everybody Loves You,['blues---country blues' 'jazz---contemporary jazz' 'reggae'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0aGUX3Kd5GLQ8jYW3YiuK5.mp3,Hazmat Modine - Everybody Loves You,https://tse2.mm.bing.net/th?id=OIP.bzItvaGsMKgskcGPOIx7jwHaE8&pid=Api
60,0bETLtTHjPjM7v94oe8x3D,Jim White,blues,Alabama Chrome,['blues---country blues' 'rock---alternative rock'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0bETLtTHjPjM7v94oe8x3D.mp3,Jim White - Alabama Chrome,https://tse4.mm.bing.net/th?id=OIP.hlirFCjkhpLkdiVv2tFWCwHaI9&pid=Api
61,0bYrlzVZsY74llTUQCXAbU,Eric Bibb,blues,Dream. Catchers,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0bYrlzVZsY74llTUQCXAbU.mp3,Eric Bibb - Dream. Catchers,https://tse2.mm.bing.net/th?id=OIP.S3R94l3Qzr7UAABsXM8rugHaD3&pid=Api
62,0bmvfzXUxSIPtGRoE3j9LM,Robert Lucas,blues,Built for Comfort,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0bmvfzXUxSIPtGRoE3j9LM.mp3,Robert Lucas - Built for Comfort,https://tse1.explicit.bing.net/th?id=OIP.he4wWvSr2LBz9dHwLf4wkgHaGk&pid=Api
63,0cGSJcHOcTEQePbcI2C7rq,Cannon's Jug Stompers,blues,Feather Bed,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0cGSJcHOcTEQePbcI2C7rq.mp3,Cannon's Jug Stompers - Feather Bed,https://tse1.mm.bing.net/th?id=OIP.vrjZDY4p9o7V1te69kFOJAHaE8&pid=Api
64,0ePxqRzmI90yaxH9af9sA2,John Lee Hooker,blues,Love Money Can't Buy,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0ePxqRzmI90yaxH9af9sA2.mp3,John Lee Hooker - Love Money Can't Buy,https://tse3.mm.bing.net/th?id=OIP.DEcSQ9z7dJcSCnGc12ylLgHaI8&pid=Api
65,0fM0mFxHP1R4KPX1PB8tWU,Elmore James,blues,Dust My Broom,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0fM0mFxHP1R4KPX1PB8tWU.mp3,Elmore James - Dust My Broom,https://tse4.mm.bing.net/th?id=OIP.gzSoL3TUBEZHnw00v5VLcQHaE7&pid=Api
66,0fbv74GkuNepI7d9VfRZza,Eric Bibb,blues,God. 's Mojo,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0fbv74GkuNepI7d9VfRZza.mp3,Eric Bibb - God. 's Mojo,https://tse2.mm.bing.net/th?id=OIP.S3R94l3Qzr7UAABsXM8rugHaD3&pid=Api
67,0fr76BTx7k2VhcSHzLqUwf,Stefan Grossman,blues,Texas Lemon Flavor,['blues---country blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0fr76BTx7k2VhcSHzLqUwf.mp3,Stefan Grossman - Texas Lemon Flavor,https://tse3.mm.bing.net/th?id=OIP.uDqAQ7QBjm4w2veFhb7ABgHaFw&pid=Api
68,0fzwnjua86MZYaQR9BkOyD,John Lee Hooker,blues,It Serves Me Right to Suffer,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0fzwnjua86MZYaQR9BkOyD.mp3,John Lee Hooker - It Serves Me Right to Suffer,https://tse3.mm.bing.net/th?id=OIP.DEcSQ9z7dJcSCnGc12ylLgHaI8&pid=Api
69,0gTglFp4aOeUcPHvZXaTWq,Albert Cummings,blues,So Strong,['blues---electric blues'],https://datalakerpg.s3.ap-southeast-2.amazonaws.com/ludwig_music_data/mp3/blues/0gTglFp4aOeUcPHvZXaTWq.mp3,Albert Cummings - So Strong,https://tse2.explicit.bing.net/th?id=OIP.M-li0myF6FHZCEZ_wpJu0gHaJW&pid=Api
